,model,extension,location,working_hours,price,const_year
171,308,E2,IT,2802,57000,2016
172,308,E2,PL,3079,43550,2014
173,308,E2,IT,6127,37000,2014
174,308,E2,PL,4114,44603,2015
175,308,D,SE,8600,46826,2012
176,308,E2,PL,2851,50219,2016
177,308,E,NL,10625,34500,2013
178,308,C,UA,4900,28500,2007
179,308,E2,DE,785,74500,2017
180,308,D,GE,1625,54663,2009
181,308,D,NO,9035,48067,2010
182,308,E2,FR,3540,61000,2016
183,308,D,PL,7000,33180,2010
184,308,E2,LV,4724,49000,2016
185,308,E,DE,4000,42000,2012
186,308,D,FI,7698,43000,2011
187,308,D,FI,8110,52900,2011
188,308,E2,FR,3250,51900,2015
189,308,E2,IT,1646,59000,2017
190,308,E2,FI,4134,59900,2014
191,308,E,SE,7700,46664,2013
192,308,E2,FI,5338,58500,2017
193,308,E2,BE,1450,52450,2017
194,308,E2,PL,1403,56000,2018
195,308,E,LT,5664,39900,2013
196,308,E2,DE,3500,49900,2017
197,308,E2,PL,1600,53150,2017
198,308,E2,LT,1427,69000,2019
199,308,E,UA,7681,50900,2013
200,308,E,FR,4430,41500,2012
201,308,D,FR,4484,38000,2012
202,308,E2,NL,2580,52500,2016
203,308,E2,PL,310,66000,2018
204,308,E2,PL,1737,63119,2018
205,308,E2,BE,2210,67000,2018
206,308,E2,FR,2281,65000,2016
207,308,E,DE,2525,59000,2016
208,308,E,ES,4393,42500,2012
209,308,E2,FR,1287,68000,2017
210,308,D,ES,5336,44500,2011
211,308,E2,FR,1829,72000,2018
212,308,E2,DE,7,74500,2020
213,308,E2,DE,7,74500,2018
214,308,E2,PL,29,54210,2018
215,320,E,NO,8906,78954,2012
216,320,D2,NL,6070,99000,2018
217,320,NG,DE,550,87000,2019
218,320,D,NL,9644,42500,2007
219,320,D,NL,7486,63900,2010
220,320,E,DE,6971,71500,2013
221,320,D,NL,12609,58900,2010
222,320,D,NO,6000,70874,2011
223,320,F,NL,5703,100000,2017
224,320,E,SE,10625,86064,2012
225,320,D,TR,10535,74250,2013
226,320,NG,NL,2700,97500,2020
227,320,NG,NL,2542,97500,2019
228,320,D,PL,12000,21500,2008
229,320,E,LV,8600,83500,2015
230,320,D,NL,7740,61900,2010
231,320,C,IT,6000,48000,2005
232,320,E,PL,4980,88000,2014
233,320,E,DE,9508,68500,2013
234,320,E,DE,7134,68900,2012
235,320,NG,AT,1302,125900,2019
236,320,E,DE,10000,64900,2012
237,320,D,BG,8111,58900,2010
238,320,E,DE,9150,69500,2012
239,320,E,NO,7735,98770,2015
240,320,C,NL,13073,41000,2006
241,320,NG,BY,3100,115000,2020
242,320,E,NO,8750,86780,2014
243,320,D,GB,9700,49453,2007
244,320,C,PL,18855,37284,2003
245,320,D,ES,13600,56000,2010
246,320,NG,DE,249,180500,2020
247,320,D3,BE,715,89000,2020
248,320,D,GB,11695,51192,2011
249,320,C,NL,9344,48500,2005
250,320,D,GB,12000,45765,2007
251,320,D,FR,8258,52000,2011
252,320,E,BE,6875,79500,2015
253,320,NG,DE,1737,165000,2020
254,320,E,IE,9300,66500,2013
255,320,NG,AT,4355,121500,2018
256,320,E,NO,7600,99430,2015
257,320,E,PL,9377,112100,2015
258,320,D,NL,16339,37500,2008
259,320,D,NL,12982,47500,2008
260,320,C,NL,14623,47900,2002
261,320,D2,BE,5942,68880,2017
262,320,E,FI,9590,89500,2013
263,320,D,NL,13725,49800,2009
264,320,E,NO,8800,83580,2014
265,320,C,PL,12036,47044,2005
266,320,E,ES,6949,104500,2016
267,320,F,FR,7696,95000,2016
268,320,D,FR,8250,55000,2011
269,320,E,PL,12372,65000,2012
270,320,D,BY,8600,46900,2010
271,320,E,NO,7700,99770,2015
272,320,E,DE,9040,67500,2013
273,320,D,NO,9200,47326,2011
274,320,E,SE,11807,68563,2013
275,320,B,IE,13057,29950,2005
276,320,E,BE,10748,59000,2014
277,320,E,PL,7800,77500,2014
278,320,D,FR,16737,42900,2010
279,320,E,NL,9701,10000,2013
280,320,E,DE,8558,102221,2013
281,320,E,FR,10687,65000,2012
282,320,E,LT,11000,70000,2015
283,320,D,NL,11075,51900,2008
284,320,NG,BE,321,175000,2020
285,320,NG,NL,469,185914,2019
286,320,NG,DE,3374,159000,2019
287,320,E,FI,7800,105000,2014
288,320,E,PL,7720,74500,2015
289,320,E,FI,9674,98000,2015
290,320,D,FI,7814,46000,2008
291,320,E,DE,6900,69500,2012
292,320,E,EE,9996,62500,2012
293,320,E,GB,8300,71080,2015
294,320,B,IE,13213,30000,2004
295,320,NG,DE,5027,120000,2018
296,320,D,NL,17897,47800,2007
297,320,E,NL,12081,69800,2013
298,320,F,PT,8776,69000,2012
299,320,NG,DE,3885,168948,2018
300,320,E,NL,8458,69000,2012
301,320,NG,FR,1515,155000,2018
302,320,E,NL,8169,67800,2014
303,320,E,DE,6500,118000,2016
304,320,E,DE,10611,66000,2012
305,320,D2,UA,1608,117000,2018
306,320,D,UA,1750,115000,2018
307,320,NG,DE,246,134500,2020
308,320,E,NL,11760,66900,2013
309,320,E,PL,9500,61858,2014
310,320,NG,TR,2710,95000,2020
311,320,E,FI,9300,82000,2015
312,320,C,FI,12725,49900,2003
313,320,E,FR,4335,120000,2015
314,320,D,TR,8470,72000,2014
315,320,F,FR,7200,103000,2017
316,320,NG,PL,3215,136000,2020
317,320,NG,PL,2801,128000,2019
318,320,C,NL,9322,39500,2004
319,320,C,NL,9000,39500,2002
320,320,F,PL,3744,156000,2016
321,320,E,NO,8500,64611,2014
322,320,E,NO,9950,71911,2013
323,320,E,DE,10600,60900,2013
324,320,F,SE,7337,116581,2016
325,320,D3,BE,895,89000,2019
326,320,D,NL,18706,49800,2011
327,320,D,PL,11147,41430,2010
328,320,D3,NL,1403,81800,2018
329,320,D3,NL,1701,86800,2020
330,320,D,NL,1364,85800,2018
331,320,E,NL,10275,62900,2012
332,320,F,FI,3330,124900,2017
333,320,E,EE,12076,67900,2013
334,320,NG,FR,1181,150000,2019
335,320,E,FR,8443,70000,2015
336,320,D,EE,22000,8000,2007
337,320,E,PL,10458,70280,2013
338,320,F,FI,5905,125000,2016
339,320,E,PL,6876,83499,2015
340,320,E,PL,10649,79214,2014
341,320,F,PL,3531,144000,2017
342,320,E,NL,11135,65900,2012
343,320,C,NL,12700,47750,2005
344,320,E,EE,7461,73000,2013
345,320,NG,DE,398,159000,2021
346,320,E,BE,8811,69000,2014
347,320,F,UK,4771,71846,2017
348,320,F,NL,5805,84900,2017
349,320,E,EE,8657,73000,2012
350,320,E,DE,5200,93000,2013
351,320,D,DE,10128,54700,2009
352,320,F,FI,6390,119000,2017
353,320,D,NL,15878,56000,2007
354,320,D,NL,11322,51900,2009
355,320,C,NL,15191,44900,2006
356,320,E,NO,7408,79381,2015
357,320,B,DE,15049,34000,2004
358,320,E,BE,9190,7500,2013
359,320,E,BE,9698,7500,2013
360,320,D,IE,13000,55000,2012
361,320,NG,LV,3100,135000,2019
362,320,NG,LV,5400,95000,2018
363,320,D,NL,13717,51500,2007
364,320,C,NL,9000,44500,2005
365,320,E,NO,6500,84404,2014
366,320,D,EE,10430,43900,2006
367,320,E,DE,6463,79000,2012
368,320,NG,BE,1925,137000,2018
369,320,E,SK,6811,97000,2016
370,320,NG,NL,3862,119500,2019
371,320,E,NL,6779,72500,2014
372,320,D,DE,13300,47000,2008
373,320,E,NL,7482,147500,2012
374,320,E,BE,9100,58000,2013
375,320,E,BE,9600,58000,2013
376,320,E,SE,10645,67683,2014
377,320,D,RO,11000,58000,2012
378,320,E,PL,11260,73272,2012
379,320,E,NO,7100,102372,2015
380,320,D,PL,7567,59000,2011
381,320,F,FR,2930,140000,2017
382,320,E,FR,11600,56500,2013
383,320,E,NL,10074,66800,2015
384,320,C,NL,9799,45000,2005
385,320,D,NL,8674,64950,2009
386,320,D,NL,10545,54900,2007
387,320,E,NL,8986,68900,2013
388,320,E,DE,6692,62000,2015
389,320,F,BE,3067,115000,2017
390,320,E,LV,10779,71000,2013
391,320,E,NL,12154,59900,2013
392,320,C,NL,9416,43500,2003
393,320,C,HU,16000,43411,2004
394,320,D,BE,10646,44000,2011
395,320,D,NL,10226,52900,2008
396,320,E,FI,6650,97000,2015
397,320,E,LV,8673,71000,2014
398,320,E,PL,5258,115000,2016
399,320,NG,DE,1565,179000,2020
400,320,E,PL,5950,99940,2014
401,320,C,SE,12384,31520,2005
402,320,D2,BE,5184,64000,2016
403,320,D,NL,9300,52750,2010
404,320,D,NL,11000,69000,2012
